Epoch,Step,Total,CE,feat
58,90,0.09521484375,0.09521484375,
58,100,0.10107421875,0.10107421875,
58,110,0.029296875,0.029296875,
59,0,0.043701171875,0.043701171875,
59,10,0.044189453125,0.044189453125,
59,20,0.0169677734375,0.0169677734375,
59,30,0.06640625,0.06640625,
59,40,0.018310546875,0.018310546875,
59,50,0.01953125,0.01953125,
59,60,0.0098876953125,0.0098876953125,
59,70,0.01226806640625,0.01226806640625,
59,80,0.0118408203125,0.0118408203125,
59,90,0.06396484375,0.06396484375,
59,100,0.08154296875,0.08154296875,
59,110,0.0162353515625,0.0162353515625,
60,0,0.0181884765625,0.0181884765625,
60,10,0.029052734375,0.029052734375,
60,20,0.01068115234375,0.01068115234375,
60,30,0.056640625,0.056640625,
60,40,0.01287841796875,0.01287841796875,
60,50,0.0142822265625,0.0142822265625,
60,60,0.00830078125,0.00830078125,
60,70,0.0098876953125,0.0098876953125,
60,80,0.0101318359375,0.0101318359375,
60,90,0.051513671875,0.051513671875,
60,100,0.07177734375,0.07177734375,
60,110,0.0133056640625,0.0133056640625,
61,0,0.01458740234375,0.01458740234375,
61,10,0.023193359375,0.023193359375,
61,20,0.01043701171875,0.01043701171875,
61,30,0.0546875,0.0546875,
61,40,0.01141357421875,0.01141357421875,
61,50,0.01287841796875,0.01287841796875,
61,60,0.00787353515625,0.00787353515625,
61,70,0.0089111328125,0.0089111328125,
61,80,0.0098876953125,0.0098876953125,
61,90,0.044189453125,0.044189453125,
61,100,0.0634765625,0.0634765625,
61,110,0.011962890625,0.011962890625,
62,0,0.01385498046875,0.01385498046875,
62,10,0.0185546875,0.0185546875,
62,20,0.0098876953125,0.0098876953125,
62,30,0.052734375,0.052734375,
62,40,0.01080322265625,0.01080322265625,
62,50,0.01141357421875,0.01141357421875,
62,60,0.0079345703125,0.0079345703125,
62,70,0.0081787109375,0.0081787109375,
62,80,0.00982666015625,0.00982666015625,
62,90,0.037841796875,0.037841796875,
62,100,0.06201171875,0.06201171875,
62,110,0.01080322265625,0.01080322265625,
63,0,0.01318359375,0.01318359375,
63,10,0.0157470703125,0.0157470703125,
63,20,0.00946044921875,0.00946044921875,
63,30,0.052001953125,0.052001953125,
63,40,0.0107421875,0.0107421875,
63,50,0.010986328125,0.010986328125,
63,60,0.0074462890625,0.0074462890625,
63,70,0.008056640625,0.008056640625,
63,80,0.00970458984375,0.00970458984375,
63,90,0.03515625,0.03515625,
63,100,0.057861328125,0.057861328125,
63,110,0.0107421875,0.0107421875,
64,0,0.0126953125,0.0126953125,
64,10,0.01397705078125,0.01397705078125,
64,20,0.0093994140625,0.0093994140625,
64,30,0.05078125,0.05078125,
64,40,0.01007080078125,0.01007080078125,
64,50,0.01092529296875,0.01092529296875,
64,60,0.007537841796875,0.007537841796875,
64,70,0.007659912109375,0.007659912109375,
64,80,0.009521484375,0.009521484375,
64,90,0.033447265625,0.033447265625,
64,100,0.054443359375,0.054443359375,
64,110,0.01025390625,0.01025390625,
65,0,0.01251220703125,0.01251220703125,
65,10,0.0128173828125,0.0128173828125,
65,20,0.009521484375,0.009521484375,
65,30,0.050048828125,0.050048828125,
65,40,0.010009765625,0.010009765625,
65,50,0.01031494140625,0.01031494140625,
65,60,0.007415771484375,0.007415771484375,
65,70,0.0076904296875,0.0076904296875,
65,80,0.00946044921875,0.00946044921875,
65,90,0.033203125,0.033203125,
65,100,0.052001953125,0.052001953125,
65,110,0.01007080078125,0.01007080078125,
66,0,0.01220703125,0.01220703125,
66,10,0.0126953125,0.0126953125,
66,20,0.0091552734375,0.0091552734375,
66,30,0.048583984375,0.048583984375,
66,40,0.0098876953125,0.0098876953125,
66,50,0.00994873046875,0.00994873046875,
66,60,0.007080078125,0.007080078125,
66,70,0.007293701171875,0.007293701171875,
66,80,0.00958251953125,0.00958251953125,
66,90,0.03173828125,0.03173828125,
66,100,0.052001953125,0.052001953125,
66,110,0.0096435546875,0.0096435546875,
67,0,0.0118408203125,0.0118408203125,
67,10,0.01202392578125,0.01202392578125,
67,20,0.00933837890625,0.00933837890625,
67,30,0.048095703125,0.048095703125,
67,40,0.009521484375,0.009521484375,
67,50,0.00994873046875,0.00994873046875,
67,60,0.007171630859375,0.007171630859375,
67,70,0.007110595703125,0.007110595703125,
67,80,0.0093994140625,0.0093994140625,
67,90,0.03173828125,0.03173828125,
67,100,0.050537109375,0.050537109375,
67,110,0.009765625,0.009765625,
68,0,0.0123291015625,0.0123291015625,
68,10,0.01202392578125,0.01202392578125,
68,20,0.00909423828125,0.00909423828125,
68,30,0.047607421875,0.047607421875,
68,40,0.00958251953125,0.00958251953125,
68,50,0.0098876953125,0.0098876953125,
68,60,0.007049560546875,0.007049560546875,
68,70,0.006683349609375,0.006683349609375,
68,80,0.00909423828125,0.00909423828125,
68,90,0.0306396484375,0.0306396484375,
68,100,0.05029296875,0.05029296875,
68,110,0.00970458984375,0.00970458984375,
69,0,0.011962890625,0.011962890625,
69,10,0.01202392578125,0.01202392578125,
69,20,0.00860595703125,0.00860595703125,
69,30,0.04638671875,0.04638671875,
69,40,0.0093994140625,0.0093994140625,
69,50,0.009521484375,0.009521484375,
69,60,0.0072021484375,0.0072021484375,
69,70,0.006988525390625,0.006988525390625,
69,80,0.00921630859375,0.00921630859375,
69,90,0.0302734375,0.0302734375,
69,100,0.051025390625,0.051025390625,
69,110,0.00958251953125,0.00958251953125,
70,0,0.01171875,0.01171875,
70,10,0.0115966796875,0.0115966796875,
70,20,0.009033203125,0.009033203125,
70,30,0.046630859375,0.046630859375,
70,40,0.00946044921875,0.00946044921875,
70,50,0.009521484375,0.009521484375,
70,60,0.00701904296875,0.00701904296875,
70,70,0.00689697265625,0.00689697265625,
70,80,0.00921630859375,0.00921630859375,
70,90,0.0284423828125,0.0284423828125,
70,100,0.04833984375,0.04833984375,
70,110,0.0096435546875,0.0096435546875,
71,0,0.01141357421875,0.01141357421875,
71,10,0.01141357421875,0.01141357421875,
71,20,0.00848388671875,0.00848388671875,
71,30,0.0458984375,0.0458984375,
71,40,0.00897216796875,0.00897216796875,
71,50,0.00946044921875,0.00946044921875,
71,60,0.006866455078125,0.006866455078125,
71,70,0.006988525390625,0.006988525390625,
71,80,0.0091552734375,0.0091552734375,
71,90,0.0284423828125,0.0284423828125,
71,100,0.0478515625,0.0478515625,
71,110,0.009521484375,0.009521484375,
72,0,0.0113525390625,0.0113525390625,
72,10,0.01116943359375,0.01116943359375,
72,20,0.008544921875,0.008544921875,
72,30,0.04541015625,0.04541015625,
72,40,0.0093994140625,0.0093994140625,
72,50,0.0093994140625,0.0093994140625,
72,60,0.0069580078125,0.0069580078125,
72,70,0.006683349609375,0.006683349609375,
72,80,0.00909423828125,0.00909423828125,
72,90,0.02783203125,0.02783203125,
72,100,0.04833984375,0.04833984375,
72,110,0.009521484375,0.009521484375,
